<BondForcePoints> 			
  0.15456936E+02 -0.40097870E+03  0.10216333E+05 -0.10667688E+06  0.15677856E+02 -0.28820022E+03  0.63202259E+04 -0.86302610E+05 	 0.97482925E+02 -0.70817694E+03  0.32930103E+04 -0.19515779E+05			
  0.14694990E+02 -0.36139349E+03  0.95762714E+04 -0.17791101E+06  0.15126046E+02 -0.26395495E+03  0.58024102E+04 -0.75881674E+05 	 0.96079590E+02 -0.69523914E+03  0.31759155E+04 -0.14914515E+05			
  0.14009085E+02 -0.32522334E+03  0.85088053E+04 -0.94295890E+05  0.14620739E+02 -0.24165589E+03  0.53471202E+04 -0.54529199E+05 	 0.94701698E+02 -0.68271448E+03  0.30864287E+04 -0.17481166E+05			
  0.13391919E+02 -0.29231967E+03  0.79430300E+04  0.37520170E+05  0.14158379E+02 -0.22092176E+03  0.50199450E+04  0.30685903E+05 	 0.93348473E+02 -0.67057849E+03  0.29815415E+04 -0.12725577E+05			
  0.12839352E+02 -0.26009730E+03  0.81681510E+04 -0.63880464E+05  0.13736861E+02 -0.20047374E+03  0.52040604E+04 -0.39931808E+05 	 0.92019142E+02 -0.65880505E+03  0.29051882E+04 -0.15280334E+05			
  0.12351319E+02 -0.22819127E+03  0.77848682E+04 -0.12269429E+06  0.13356410E+02 -0.18013668E+03  0.49644696E+04 -0.97646944E+05 	 0.90713028E+02 -0.64736761E+03  0.28135059E+04 -0.13189445E+05			
  0.11925094E+02 -0.19852412E+03  0.70487025E+04 -0.11378385E+06  0.13015214E+02 -0.16145057E+03  0.43785879E+04 -0.95586755E+05 	 0.89429443E+02 -0.63627191E+03  0.27343694E+04 -0.13733584E+05			
  0.11555331E+02 -0.17169472E+03  0.63659994E+04 -0.83620175E+05  0.12709062E+02 -0.14508326E+03  0.38050674E+04 -0.78620099E+05 	 0.88167725E+02 -0.62549921E+03  0.26519678E+04 -0.10306414E+05			
  0.11236736E+02 -0.14723416E+03  0.58642783E+04 -0.71996805E+05  0.12433487E+02 -0.13080643E+03  0.33333468E+04 -0.78562472E+05 	 0.86927254E+02 -0.61501501E+03  0.25901294E+04 -0.13491520E+05			
  0.10965149E+02 -0.12464101E+03  0.54322975E+04 -0.12631831E+06  0.12184579E+02 -0.11841579E+03  0.28619720E+04 -0.16245737E+06 	 0.85707474E+02 -0.60481641E+03  0.25091802E+04 -0.10312548E+05			
  0.10736586E+02 -0.10442764E+03  0.46743876E+04 -0.11841258E+06  0.11957896E+02 -0.10891739E+03  0.18872277E+04 -0.16965870E+06 	 0.84507797E+02 -0.59490344E+03  0.24473049E+04 -0.10886147E+05			
  0.10545481E+02 -0.87151043E+02  0.39639121E+04 -0.99564937E+05  0.11746253E+02 -0.10340439E+03  0.86927555E+03 -0.13177346E+06 	 0.83327690E+02 -0.58524481E+03  0.23819878E+04 -0.10184100E+05			
  0.10386238E+02 -0.72490174E+02  0.33665225E+04 -0.72984737E+05  0.11541867E+02 -0.10150857E+03  0.78634767E+02 -0.15665940E+05 	 0.82166649E+02 -0.57583911E+03  0.23208833E+04 -0.10251811E+05			
  0.10254140E+02 -0.59899901E+02  0.29286141E+04 -0.85994201E+05  0.11339039E+02 -0.10138202E+03 -0.15360872E+02 -0.23678056E+05 	 0.81024170E+02 -0.56667859E+03  0.22593726E+04 -0.89892422E+04			
  0.10145366E+02 -0.49217375E+02  0.24126489E+04 -0.75426313E+05  0.11136024E+02 -0.10172760E+03 -0.15742921E+03 -0.22657200E+05 	 0.79899780E+02 -0.55774896E+03  0.22054370E+04 -0.80514058E+04			
  0.10055979E+02 -0.40471895E+02  0.19600910E+04 -0.60437006E+05  0.10931758E+02 -0.10262920E+03 -0.29337241E+03 -0.22852619E+05 	 0.78793037E+02 -0.54902380E+03  0.21571284E+04 -0.10395221E+05			
  0.99823918E+01 -0.33356775E+02  0.15974690E+04 -0.38652765E+05  0.10725143E+02 -0.10407692E+03 -0.43048812E+03  0.33368326E+05 	 0.77703537E+02 -0.54052008E+03  0.20947573E+04 -0.70503052E+04			
  0.99217589E+01 -0.27430732E+02  0.13655524E+04 -0.38962803E+05  0.10515534E+02 -0.10539846E+03 -0.23027817E+03  0.51805916E+05 	 0.76630821E+02 -0.53222565E+03  0.20524556E+04 -0.86181768E+04			
  0.98720480E+01 -0.22436077E+02  0.11317756E+04 -0.34785523E+05  0.10304231E+02 -0.10569790E+03  0.80557327E+02  0.51961689E+05 	 0.75574509E+02 -0.52411926E+03  0.20007463E+04 -0.76138457E+04			
  0.98314246E+01 -0.18326401E+02  0.92306241E+03 -0.27026059E+05  0.10093573E+02 -0.10475213E+03  0.39232746E+03  0.12525920E+05 	 0.74534210E+02 -0.51620758E+03  0.19550632E+04 -0.66955625E+04			
  0.97982479E+01 -0.14958464E+02  0.76090606E+03 -0.60900213E+04  0.98857380E+01 -0.10303251E+03  0.46748298E+03  0.10868998E+04 	 0.73509567E+02 -0.50846774E+03  0.19148901E+04 -0.75503389E+04			
  0.97713258E+01 -0.11987920E+02  0.72436593E+03 -0.71766886E+04  0.96815516E+01 -0.10114953E+03  0.47400438E+03  0.38070074E+04 	 0.72500229E+02 -0.50089877E+03  0.18695879E+04 -0.69943706E+04			
  0.97501901E+01 -0.91765763E+01  0.68130580E+03 -0.28166822E+05  0.94811790E+01 -0.99207830E+02  0.49684643E+03  0.28677233E+05 	 0.71505852E+02 -0.49350433E+03  0.18276216E+04 -0.73796235E+04			
  0.97343368E+01 -0.67893550E+01  0.51230487E+03 -0.17219749E+05  0.92849801E+01 -0.96876318E+02  0.66890982E+03  0.11916772E+05 	 0.70526093E+02 -0.48628238E+03  0.17833438E+04 -0.44426816E+04			
  0.97226695E+01 -0.49467725E+01  0.40898637E+03 -0.97372354E+04  0.90939985E+01 -0.94057677E+02  0.74041046E+03  0.63032668E+04 	 0.69560631E+02 -0.47920236E+03  0.17566879E+04 -0.73738862E+04			
  0.97143340E+01 -0.34276738E+01  0.35056296E+03  0.77833565E+04  0.89088952E+01 -0.91020396E+02  0.77823006E+03 -0.43738516E+03 	 0.68609192E+02 -0.47226410E+03  0.17124445E+04 -0.60766782E+04			
  0.97089432E+01 -0.19320217E+01  0.39726310E+03 -0.13343019E+05  0.87299638E+01 -0.87912725E+02  0.77560575E+03 -0.50356348E+04 	 0.67671463E+02 -0.46548721E+03  0.16759844E+04 -0.55049023E+04			
  0.97065615E+01 -0.50308552E+00  0.31720499E+03 -0.18763583E+05  0.85572005E+01 -0.84870729E+02  0.74539194E+03 -0.30616308E+04 	 0.66747147E+02 -0.45884933E+03  0.16429548E+04 -0.51770303E+04			
  0.97066740E+01  0.54057143E+00  0.20462349E+03 -0.28746027E+05  0.83904161E+01 -0.81925901E+02  0.72702216E+03  0.77129093E+04 	 0.65835983E+02 -0.45233966E+03  0.16118928E+04 -0.54641919E+04			
  0.97083437E+01  0.10141131E+01  0.32147327E+02 -0.90249495E+04  0.82295341E+01 -0.78925258E+02  0.77329961E+03  0.90536984E+03 	 0.64937706E+02 -0.44595764E+03  0.15791077E+04 -0.52978716E+04			
  0.97104283E+01  0.10344030E+01 -0.22002370E+02 -0.57878120E+04  0.80747840E+01 -0.75821195E+02  0.77873183E+03 -0.23359562E+03 	 0.64052063E+02 -0.43970477E+03  0.15473203E+04 -0.52885942E+04			
  0.97123628E+01  0.87693975E+00 -0.56729242E+02 -0.17957040E+05  0.79262547E+01 -0.72709071E+02  0.77733026E+03  0.23059181E+04 	 0.63178799E+02 -0.43357895E+03  0.15155886E+04 -0.43800439E+04			
  0.97137461E+01  0.43453830E+00 -0.16447148E+03 -0.21402393E+05  0.77839643E+01 -0.69572079E+02  0.79116577E+03 -0.86707650E+03 	 0.62317673E+02 -0.42756918E+03  0.14893086E+04 -0.51529741E+04			
  0.97137861E+01 -0.48017635E+00 -0.29288584E+03 -0.24908277E+05  0.76479779E+01 -0.66417820E+02  0.78596331E+03 -0.25879457E+04 	 0.61468449E+02 -0.42167377E+03  0.14583906E+04 -0.39519116E+04			
  0.97114549E+01 -0.19506190E+01 -0.44233550E+03 -0.11399212E+05  0.75182654E+01 -0.63305023E+02  0.77043563E+03  0.19695605E+04 	 0.60630901E+02 -0.41588763E+03  0.14346792E+04 -0.50730410E+04			
  0.97056931E+01 -0.38567516E+01 -0.51073077E+03 -0.12743659E+05  0.73947529E+01 -0.60199645E+02  0.78225300E+03  0.21491748E+04 	 0.59804829E+02 -0.41020981E+03  0.14042411E+04 -0.37863999E+04			
  0.96958348E+01 -0.60525986E+01 -0.58719273E+03 -0.16451757E+05  0.72774998E+01 -0.57044843E+02  0.79514804E+03  0.38360487E+04 	 0.58989994E+02 -0.40463828E+03  0.13815226E+04 -0.39183574E+04			
  0.96812492E+01 -0.85987906E+01 -0.68590327E+03 -0.47852238E+04  0.71666214E+01 -0.53818218E+02  0.81816434E+03 -0.25912137E+04 	 0.58186211E+02 -0.39915921E+03  0.13580125E+04 -0.53354995E+04			
  0.96612697E+01 -0.11399826E+02 -0.71461461E+03 -0.82596182E+03  0.70622369E+01 -0.50576656E+02  0.80261705E+03 -0.41640539E+04 	 0.57393280E+02 -0.39379117E+03  0.13259994E+04 -0.16894470E+04			
  0.96356050E+01 -0.14268196E+02 -0.71957038E+03  0.12439902E+05  0.69642607E+01 -0.47416156E+02  0.77763273E+03 -0.64003185E+04 	 0.56610992E+02 -0.38850748E+03  0.13158628E+04 -0.64690117E+04			
  0.96042898E+01 -0.16997199E+02 -0.64493097E+03  0.16729761E+04  0.68724877E+01 -0.44382429E+02  0.73923082E+03 -0.25935482E+04 	 0.55839188E+02 -0.38332162E+03  0.12770486E+04 -0.17895319E+04			
  0.95677291E+01 -0.19556847E+02 -0.63489311E+03 -0.99923684E+04  0.67866590E+01 -0.41456628E+02  0.72366953E+03  0.88977577E+03 	 0.55077637E+02 -0.37823489E+03  0.12663114E+04 -0.30582976E+04			
  0.95259959E+01 -0.22216328E+02 -0.69484732E+03  0.10588631E+04  0.67066476E+01 -0.38551273E+02  0.72900819E+03  0.32160917E+04 	 0.54326206E+02 -0.37320636E+03  0.12479615E+04 -0.57327583E+04			
  0.94787923E+01 -0.24983011E+02 -0.68849415E+03  0.35549700E+04  0.66324868E+01 -0.35596647E+02  0.74830474E+03  0.33989895E+04 	 0.53584743E+02 -0.36828333E+03  0.12135652E+04 -0.17207454E+04			
  0.94261008E+01 -0.27694328E+02 -0.66716433E+03  0.22936656E+05  0.65643139E+01 -0.32562640E+02  0.76869867E+03 -0.23202733E+04 	 0.52853016E+02 -0.36344971E+03  0.12032407E+04 -0.38148879E+04			
  0.93682269E+01 -0.30087745E+02 -0.52954439E+03  0.89277352E+04  0.65022449E+01 -0.29515689E+02  0.75477703E+03 -0.14390058E+04 	 0.52130898E+02 -0.35868250E+03  0.11803513E+04 -0.30391174E+04			
  0.93060047E+01 -0.32098790E+02 -0.47597798E+03 -0.81782031E+04  0.64462211E+01 -0.26513849E+02  0.74614300E+03 -0.15550348E+04 	 0.51418228E+02 -0.35399756E+03  0.11621166E+04 -0.32885464E+04			
  0.92398378E+01 -0.34100841E+02 -0.52504720E+03 -0.76193166E+04  0.63961655E+01 -0.23547937E+02  0.73681279E+03  0.86655572E+03 	 0.50714859E+02 -0.34938858E+03  0.11423854E+04 -0.29870698E+04			
  0.91694749E+01 -0.36292461E+02 -0.57076310E+03 -0.10786145E+05  0.63520238E+01 -0.20590287E+02  0.74201212E+03  0.18802731E+04 	 0.50020626E+02 -0.34485489E+03  0.11244629E+04 -0.25972236E+04			
  0.90945207E+01 -0.38704947E+02 -0.63547997E+03  0.18751912E+05  0.63138263E+01 -0.17599676E+02  0.75329376E+03 -0.19969084E+04 	 0.49335392E+02 -0.34038818E+03  0.11088796E+04 -0.29849709E+04			
  0.90147189E+01 -0.41021844E+02 -0.52296849E+03  0.15972400E+05  0.62816242E+01 -0.14610463E+02  0.74131231E+03 -0.36122342E+04 	 0.48659031E+02 -0.33598849E+03  0.10909698E+04 -0.37505264E+04			
  0.89307111E+01 -0.42922049E+02 -0.42713409E+03  0.45352824E+04  0.62553396E+01 -0.11688561E+02  0.71963891E+03 -0.10845669E+05 	 0.47991386E+02 -0.33166962E+03  0.10684667E+04 -0.12507146E+04			
  0.88431947E+01 -0.44576162E+02 -0.39992240E+03 -0.51614770E+03  0.62347543E+01 -0.89401533E+01  0.65456489E+03 -0.87746174E+04 	 0.47332310E+02 -0.32741077E+03  0.10609624E+04 -0.36366809E+04			
  0.87524386E+01 -0.46182046E+02 -0.40301928E+03 -0.13718702E+05  0.62194220E+01 -0.64271892E+01  0.60191719E+03 -0.83370665E+04 	 0.46681702E+02 -0.32321054E+03  0.10391422E+04 -0.24405649E+04			
  0.86583527E+01 -0.47958747E+02 -0.48533149E+03  0.67052770E+04  0.62089086E+01 -0.41195652E+01  0.55189479E+03 -0.48678232E+04 	 0.46039421E+02 -0.31908328E+03  0.10244989E+04 -0.25694680E+04			
  0.85605475E+01 -0.49819610E+02 -0.44509983E+03  0.14550116E+05  0.62028381E+01 -0.19704000E+01  0.52268785E+03 -0.26350000E+04 	 0.45405331E+02 -0.31501611E+03  0.10090820E+04 -0.17201350E+04			
  0.84592443E+01 -0.51425408E+02 -0.35779914E+03  0.17469179E+05  0.62009670E+01  0.88731447E-01  0.50687785E+03 -0.61332540E+04 	 0.44779320E+02 -0.31100043E+03  0.99876123E+03 -0.34130637E+04			
  0.83551020E+01 -0.52646974E+02 -0.25298406E+03  0.17866359E+05  0.62031229E+01  0.20426438E+01  0.47007833E+03 -0.62336209E+04 	 0.44161285E+02 -0.30704633E+03  0.97828284E+03 -0.18892162E+04			
  0.82489391E+01 -0.53444514E+02 -0.14578591E+03 -0.47660311E+04  0.62090387E+01  0.38481536E+01  0.43267660E+03 -0.58570025E+04 	 0.43551094E+02 -0.30315588E+03  0.96694757E+03 -0.21984514E+04			
  0.81414288E+01 -0.54084850E+02 -0.17438210E+03 -0.16361244E+04  0.62184188E+01  0.55085760E+01  0.39753458E+03 -0.45486110E+04 	 0.42948631E+02 -0.29931445E+03  0.95375684E+03 -0.27636206E+04			
  0.80325485E+01 -0.54802012E+02 -0.18419884E+03  0.68401606E+04  0.62309897E+01  0.70441310E+01  0.37024292E+03  0.76154880E+03 	 0.42353794E+02 -0.29553259E+03  0.93717505E+03 -0.15250977E+04			
  0.79222624E+01 -0.55456725E+02 -0.14315788E+03  0.88426210E+04  0.62465650E+01  0.85342413E+01  0.37481221E+03  0.13743455E+03 	 0.41766464E+02 -0.29180219E+03  0.92802448E+03 -0.21646235E+04			
  0.78108470E+01 -0.55923246E+02 -0.90102152E+02  0.17412406E+05  0.62651339E+01  0.10035139E+02  0.37563682E+03  0.70061391E+03 	 0.41186558E+02 -0.28811609E+03  0.91503680E+03 -0.30382170E+04			
  0.76987794E+01 -0.56074705E+02  0.14372286E+02  0.86344387E+04  0.62867123E+01  0.11546094E+02  0.37984050E+03 -0.49912229E+03 	 0.40613960E+02 -0.28449237E+03  0.89680750E+03 -0.10132883E+04			
  0.75867566E+01 -0.55913603E+02  0.66178919E+02  0.19564804E+04  0.63113199E+01  0.13059467E+02  0.37684577E+03 -0.18108290E+04 	 0.40048553E+02 -0.28091730E+03  0.89072772E+03 -0.24452617E+04			
  0.74752097E+01 -0.55625409E+02  0.77917801E+02  0.10748331E+04  0.63389317E+01  0.14545120E+02  0.36598079E+03 -0.70055670E+03 	 0.39490261E+02 -0.27738373E+03  0.87605615E+03 -0.16307614E+04			
  0.73642792E+01 -0.55300840E+02  0.84366800E+02 -0.22833524E+04  0.63694802E+01  0.16000636E+02  0.36177745E+03 -0.18793837E+03 	 0.38938988E+02 -0.27389911E+03  0.86627161E+03 -0.24071455E+04			
  0.72539967E+01 -0.54990773E+02  0.70666686E+02  0.70663182E+04  0.64029271E+01  0.17445491E+02  0.36064982E+03 -0.60183267E+03 	 0.38394634E+02 -0.27046289E+03  0.85182874E+03 -0.16603970E+04			
  0.71443544E+01 -0.54623311E+02  0.11306459E+03  0.10026758E+05  0.64392559E+01  0.18880868E+02  0.35703883E+03 -0.60787805E+03 	 0.37857101E+02 -0.26707550E+03  0.84186633E+03 -0.14460680E+04			
  0.70356402E+01 -0.54050731E+02  0.17322514E+03  0.91685447E+04  0.64784409E+01  0.20301729E+02  0.35339156E+03 -0.10662906E+04 	 0.37326309E+02 -0.26372540E+03  0.83318994E+03 -0.20616565E+04			
  0.69283050E+01 -0.53247808E+02  0.22823641E+03  0.96943152E+04  0.65204494E+01  0.21702500E+02  0.34699382E+03 -0.98789542E+03 	 0.36802174E+02 -0.26041736E+03  0.82081995E+03 -0.22504075E+04			
  0.68227999E+01 -0.52218531E+02  0.28640230E+03  0.34989597E+04  0.65652345E+01  0.23078620E+02  0.34106644E+03 -0.26783422E+04 	 0.36284603E+02 -0.25716110E+03  0.80731750E+03 -0.85372754E+03			
